GBAC,country,host,collection_date,serotype,Topotype
OM471620/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471619/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471618/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471617/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471616/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471615/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471614/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471613/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471612/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471611/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471610/PAK/buffalo/2011/Asia1,PAK,buffalo,2011,Asia1,ASIA
MF372126/IND/gayal/1994/Asia1,IND,gayal,1994,Asia1,ASIA
MF372125/IND/gayal/2016/Asia1,IND,gayal,2016,Asia1,ASIA
MF782478/BGD/cattle/2013/Asia1,BGD,cattle,2013,Asia1,ASIA
KU360085/CHN/pig/2015/Asia1,CHN,pig,2015,Asia1,ASIA
KC412634/CHN/pig/2006/Asia1,CHN,pig,2006,Asia1,ASIA
KM268898/TUR/cattle/2013/Asia1,TUR,cattle,2013,Asia1,ASIA
KC462884/CHN/pig/2006/Asia1,CHN,pig,2006,Asia1,ASIA
JN006720/Unknown/Unknown/2009/Asia1,Unknown,Unknown,2009,Asia1,ASIA
JN006719/Unknown/Unknown/2008/Asia1,Unknown,Unknown,2008,Asia1,ASIA
HQ631363/CHN/pig/2006/Asia1,CHN,pig,2006,Asia1,ASIA
HQ632774/MYS/cattle/1999/Asia1,MYS,cattle,1999,Asia1,ASIA
FJ906802/CHN/pig/2006/Asia1,CHN,pig,2006,Asia1,ASIA
GU931682/CHN/cow/2005/Asia1,CHN,cow,2005,Asia1,ASIA
HQ113233/AFG/cow/2009/Asia1,AFG,cow,2009,Asia1,ASIA
GQ452295/VNM/cattle/2007/Asia1,VNM,cattle,2007,Asia1,ASIA
GU125646/VNM/buffalo/2005/Asia1,VNM,buffalo,2005,Asia1,ASIA
GU125645/VNM/cattle/2007/Asia1,VNM,cattle,2007,Asia1,ASIA
DQ989323/IND/cattle/2002/Asia1,IND,cattle,2002,Asia1,ASIA
DQ989322/IND/cattle/2002/Asia1,IND,cattle,2002,Asia1,ASIA
DQ989321/IND/cattle/2001/Asia1,IND,cattle,2001,Asia1,ASIA
DQ989320/IND/cattle/2002/Asia1,IND,cattle,2002,Asia1,ASIA
DQ989319/IND/cattle/2001/Asia1,IND,cattle,2001,Asia1,ASIA
DQ989318/IND/cattle/2002/Asia1,IND,cattle,2002,Asia1,ASIA
DQ989317/IND/buffalo/2000/Asia1,IND,buffalo,2000,Asia1,ASIA
DQ989315/IND/cattle/1993/Asia1,IND,cattle,1993,Asia1,ASIA
DQ989314/IND/cattle/2001/Asia1,IND,cattle,2001,Asia1,ASIA
DQ989313/IND/buffalo/1986/Asia1,IND,buffalo,1986,Asia1,ASIA
DQ989312/IND/sheep/1990/Asia1,IND,sheep,1990,Asia1,ASIA
DQ989311/IND/buffalo/2002/Asia1,IND,buffalo,2002,Asia1,ASIA
DQ989310/IND/cattle/1999/Asia1,IND,cattle,1999,Asia1,ASIA
DQ989309/IND/cattle/1996/Asia1,IND,cattle,1996,Asia1,ASIA
DQ989308/IND/cattle/1994/Asia1,IND,cattle,1994,Asia1,ASIA
DQ989307/IND/cattle/1992/Asia1,IND,cattle,1992,Asia1,ASIA
DQ989306/IND/cattle/1986/Asia1,IND,cattle,1986,Asia1,ASIA
DQ989305/IND/cattle/1990/Asia1,IND,cattle,1990,Asia1,ASIA
DQ989304/IND/cattle/2000/Asia1,IND,cattle,2000,Asia1,ASIA
DQ989303/IND/cattle/1993/Asia1,IND,cattle,1993,Asia1,ASIA
AY593800/LBN/Unknown/1983/Asia1,LBN,Unknown,1983,Asia1,ASIA
AY593799/LBN/Unknown/1983/Asia1,LBN,Unknown,1983,Asia1,ASIA
AY593798/LBN/Unknown/1983/Asia1,LBN,Unknown,1983,Asia1,ASIA
AY593796/ISR/Unknown/1963/Asia1,ISR,Unknown,1963,Asia1,ASIA
AY593795/PAK/Unknown/1954/Asia1,PAK,Unknown,1954,Asia1,ASIA
AY390432/Unknown/Unknown/2005/Asia1,Unknown,Unknown,2005,Asia1,ASIA
EF614458/MNG/cattle/2005/Asia1,MNG,cattle,2005,Asia1,ASIA
EF149010/CHN/Unknown/2005/Asia1,CHN,Unknown,2005,Asia1,ASIA
EF149009/CHN/Unknown/2005/Asia1,CHN,Unknown,2005,Asia1,ASIA
OQ356337/PAK/cow/2006/Asia1,PAK,cow,2006,Asia1,ASIA
OQ356338/ISR/cow/2006/Asia1,ISR,cow,2006,Asia1,ASIA
