GBAC,country,host,collection_date,serotype,Topotype,lineage,color
KY446903/PAK/water-buffalo/2005/O,PAK,water-buffalo,2005,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#DBDB70
LC564898/THA/cow/2008/A,THA,cow,2008,A,ASIA,Sea-97,#BBB6D9
LC564907/THA/cow/2011/A,THA,cow,2011,A,ASIA,Sea-97,#B7B2D6
LC564909/THA/cow/2012/A,THA,cow,2012,A,ASIA,Sea-97,#B4AFD3
LC564922/THA/cow/2016/A,THA,cow,2016,A,ASIA,Sea-97,#B6B1D5
LC564923/THA/cow/2016/A,THA,cow,2016,A,ASIA,Sea-97,#B5B0D4
LC729872/THA/pig/2016/O,THA,pig,2016,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#E2E280
LC770123/IRQ/cattle/2023/SAT1,IRQ,cattle,2023,SAT1,VII-EAST-AFRICA-2-EA-2,,#B77805
LC771233/IRQ/water-buffalo/2023/A,IRQ,water-buffalo,2023,A,AFRICA,,#8F89B2
MF143578/VNM/cattle/2013/O,VNM,cattle,2013,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#F7F7B6
MF372125/IND/gayal/2016/Asia1,IND,gayal,2016,Asia1,ASIA,,#9BE1D5
MF372126/IND/gayal/1994/Asia1,IND,gayal,1994,Asia1,ASIA,,#89D2C6
MF782478/BGD/cattle/2013/Asia1,BGD,cattle,2013,Asia1,ASIA,,#9FE4D8
MF947129/VNM/pig/2014/O,VNM,pig,2014,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#FAFABC
MF947132/VNM/buffalo/2015/O,VNM,buffalo,2015,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#FFFFC8
MF947137/VNM/buffalo/2012/O,VNM,buffalo,2012,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#FBFBC0
MF947143/VNM/cattle/2013/O,VNM,cattle,2013,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#FEFEC6
MG725872/NER/cow/2013/A,NER,cow,2013,A,AFRICA,,#8C86B0
MG725874/NER/cow/2015/A,NER,cow,2015,A,AFRICA,,#8B85AF
MG923580/DZA/cattle/2017/A,DZA,cattle,2017,A,AFRICA,,#8A84AE
MG983690/BTN/cattle/2016/O,BTN,cattle,2016,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,#E9E992
MG983706/NPL/cattle/2010/O,NPL,cattle,2010,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,#E6E68A
MG983710/NPL/water-buffalo/2012/O,NPL,water-buffalo,2012,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#DFDF7A
MG983717/NPL/cattle/2015/O,NPL,cattle,2015,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,#E6E68C
MH053305/EGY/cattle/1972/A,EGY,cattle,1972,A,AFRICA,,#8882AC
MH053306/TCD/cattle/1973/A,TCD,cattle,1973,A,AFRICA,,#8983AD
MH053307/ZMB/cattle/1990/A,ZMB,cattle,1990,A,AFRICA,,#827CA7
MH053308/ETH/unknown/1971/C,ETH,unknown,1971,C,AFRICA,,#85AD1E
MH053309/KEN/cattle/1967/C,KEN,cattle,1967,C,AFRICA,,#7BA30F
MH053310/UGA/cattle/1970/C,UGA,cattle,1970,C,AFRICA,,#729900
MH053311/ETH/cattle/2004/O,ETH,cattle,2004,O,EAST-AFRICA-3-EA-3,,#C2C233
MH053312/ETH/cattle/2005/O,ETH,cattle,2005,O,EAST-AFRICA-4-EA-4,,#C6C63B
MH053313/ETH/cattle/2006/O,ETH,cattle,2006,O,EAST-AFRICA-3-EA-3,,#BEBE29
MH053314/ETH/cattle/2007/O,ETH,cattle,2007,O,EAST-AFRICA-3-EA-3,,#C1C12F
MH053315/SDN/unknown/1976/O,SDN,unknown,1976,O,WEST-AFRICA-WA,,#BEBE27
MH053316/UGA/cattle/1996/O,UGA,cattle,1996,O,EAST-AFRICA-1-EA-1,,#C3C335
MH053317/UGA/unknown/1998/O,UGA,unknown,1998,O,EAST-AFRICA-4-EA-4,,#C5C539
MH053320/KEN/cattle/1983/SAT1,KEN,cattle,1983,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#DFA65A
MH053321/MOZ/cattle/1981/SAT1,MOZ,cattle,1981,SAT1,ASIA,,#D3973F
MH053322/NAM/african-buffalo/1989/SAT1,NAM,african-buffalo,1989,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C88B28
MH053323/TCD/cattle/1972/SAT1,TCD,cattle,1972,SAT1,VI,,#BB7C0D
MH053325/UGA/cattle/1978/SAT1,UGA,cattle,1978,SAT1,VII-EAST-AFRICA-2-EA-2,,#B97A09
MH053326/UGA/african-buffalo/1970/SAT1,UGA,african-buffalo,1970,SAT1,IV-EAST-AFRICA1-EA-1,,#CD9134
MH053328/BWA/african-buffalo/1968/SAT2,BWA,african-buffalo,1968,SAT2,III,,#E76F50
MH053331/BWA/african-buffalo/1972/SAT2,BWA,african-buffalo,1972,SAT2,II,,#DD572E
MH053332/BWA/african-buffalo/1974/SAT2,BWA,african-buffalo,1974,SAT2,II,,#DF5C36
MH053333/ETH/cattle/1989/SAT2,ETH,cattle,1989,SAT2,IV,,#ED7C63
MH053334/ZMB/cattle/1964/SAT2,ZMB,cattle,1964,SAT2,III,,#E56A48
MH053335/ZWE/cattle/1965/SAT2,ZWE,cattle,1965,SAT2,I,,#E36441
MH053343/ZWE/cattle/1934/SAT3,ZWE,cattle,1934,SAT3,III-NORTHWEST-ZIMBABWE-NWZ,,#679ABA
MH053344/ZWE/cattle/1974/SAT3,ZWE,cattle,1974,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,#7DAFD0
MH053347/ZWE/cattle/1976/SAT3,ZWE,cattle,1976,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,#9ACAEC
MH053350/ZWE/african-buffalo/1983/SAT3,ZWE,african-buffalo,1983,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,#94C4E6
MH053351/ZWE/cattle/1984/SAT3,ZWE,cattle,1984,SAT3,II-WESTERN-ZIMBABWE-WZ,,#5084A4
MH053352/ZWE/african-buffalo/1990/SAT3,ZWE,african-buffalo,1990,SAT3,III-NORTHWEST-ZIMBABWE-NWZ,,#4A7F9F
MH167962/UGA/cow/2015/O,UGA,cow,2015,O,EAST-AFRICA-2-EA-2,,#C9C943
MH167965/UGA/cow/2016/O,UGA,cow,2016,O,EAST-AFRICA-2-EA-2,,#CCCC4B
MH167966/UGA/cow/2015/O,UGA,cow,2015,O,EAST-AFRICA-2-EA-2,,#CBCB49
MH784405/PAK/cattle/2017/O,PAK,cattle,2017,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#ECEC9A
MH791293/UGA/cattle/2017/O,UGA,cattle,2017,O,EAST-AFRICA-4-EA-4,,#C4C437
MH845413/VNM/pig/2014/O,VNM,pig,2014,O,SOUTHEAST-ASIA-SEA,,#D4D45F
MK071699/BGD/cattle/2013/O,BGD,cattle,2013,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#E3E384
MK940253/SAU/cattle/2017/A,SAU,cattle,2017,A,ASIA,,#AAA5CB
MN062583/PAK/cattle/2009/O,PAK,cattle,2009,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#EBEB98
MN062586/AFG/cattle/2009/A,AFG,cattle,2009,A,ASIA,Iran-05,#C3BFE1
MN062587/PAK/cattle/2009/A,PAK,cattle,2009,A,ASIA,Iran-05,#C6C2E3
MN095371/IND/cattle/2014/O,IND,cattle,2014,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,#E8E890
MN103523/NER/cow/2014/SAT2,NER,cow,2014,SAT2,VII,,#DC542A
MN116688/KEN/cow/2016/A,KEN,cow,2016,A,AFRICA,,#837DA8
MN116690/KEN/cow/2014/SAT1,KEN,cow,2014,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#FDC798
MN116691/KEN/cow/2016/SAT1,KEN,cow,2016,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#DEA456
MN116692/KEN/cow/2014/SAT2,KEN,cow,2014,SAT2,IV,,#F48F7D
MN116693/KEN/cow/2014/O,KEN,cow,2014,O,EAST-AFRICA-2-EA-2,,#C6C63D
MN116694/KEN/cow/2016/O,KEN,cow,2016,O,EAST-AFRICA-2-EA-2,,#C8C841
MN275121/CMR/cow/2016/SAT1,CMR,cow,2016,SAT1,X,,#B67602
MN366244/BGD/cattle/2018/Asia1,BGD,cattle,2018,Asia1,ASIA,,#97DED2
MN442539/ZAF/african-buffalo/1991/SAT1,ZAF,african-buffalo,1991,SAT1,ASIA,,#D69B47
MN442540/ZAF/african-buffalo/1991/SAT1,ZAF,african-buffalo,1991,SAT1,ASIA,,#D59943
MN953620/PAK/cattle/2019/O,PAK,cattle,2019,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#E0E07C
MN983152/IND/cattle/1997/O,IND,cattle,1997,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001a,#DDDD74
MN983155/IND/cattle/2008/O,IND,cattle,2008,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001b,#DEDE78
MN983156/IND/cattle/2008/O,IND,cattle,2008,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#E5E588
MN983157/IND/cattle/2009/O,IND,cattle,2009,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001c,#DEDE76
MN983158/IND/cattle/2009/O,IND,cattle,2009,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#E2E282
MT018551/ISR/cattle/2018/O,ISR,cattle,2018,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,#EEEEA0
MT602077/ETH/cattle/2018/A,ETH,cattle,2018,A,AFRICA,,#857FAA
MT602078/ETH/cattle/2019/A,ETH,cattle,2019,A,AFRICA,,#8E88B1
MT602079/SDN/cattle/2018/A,SDN,cattle,2018,A,AFRICA,,#908AB3
MT602081/ETH/cattle/2015/O,ETH,cattle,2015,O,EAST-AFRICA-3-EA-3,,#C2C231
MT602084/KEN/cattle/2018/O,KEN,cattle,2018,O,EAST-AFRICA-2-EA-2,,#C7C73F
MT602086/TZA/cattle/2012/SAT1,TZA,cattle,2012,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#EEB779
MT602087/TZA/cattle/2013/SAT1,TZA,cattle,2013,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#FBC594
MT602088/TZA/cattle/2014/SAT1,TZA,cattle,2014,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#F9C390
MT602090/ETH/cattle/2015/SAT2,ETH,cattle,2015,SAT2,VII,,#D64717
MT602092/KEN/cattle/2017/SAT2,KEN,cattle,2017,SAT2,IV,,#EB7A5F
MW355668/TZA/cattle/1980/SAT1,TZA,cattle,1980,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#DAA04F
MW355669/ZMB/cattle/1988/SAT1,ZMB,cattle,1988,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,#D89D4B
MW355671/MOZ/Unknown/1970/SAT2,MOZ,Unknown,1970,SAT2,I,,#E1623D
MW355673/ZWE/cattle/1989/SAT2,ZWE,cattle,1989,SAT2,II,,#DE5932
MW355674/BWA/cattle/1967/SAT3,BWA,cattle,1967,SAT3,II-WESTERN-ZIMBABWE-WZ,,#5B8FAF
MW355676/ZWE/cattle/1976/SAT3,ZWE,cattle,1976,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,#72A4C5
MW355677/ZAF/cattle/1979/SAT3,ZAF,cattle,1979,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,#89BADB
MW355678/ZMB/african-buffalo/1996/SAT3,ZMB,african-buffalo,1996,SAT3,III-NORTHWEST-ZIMBABWE-NWZ,,#457A9A
MW355679/ZWE/african-buffalo/1990/SAT3,ZWE,african-buffalo,1990,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,#78AACB
MW715622/NER/cow/2018/SAT2,NER,cow,2018,SAT2,VII,,#DA4F23
MW715629/NER/cow/2017/SAT2,NER,cow,2017,SAT2,VII,,#DB5126
MZ493232/PAK/cattle/2017/A,PAK,cattle,2017,A,ASIA,Iran-05,#CDC9E9
MZ493234/PAK/cattle/2018/A,PAK,cattle,2018,A,ASIA,Iran-05,#CCC8E8
