GBAC,Year,Country,Host,Serotype,Topotype,Lineage,pool
OQ211405/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211404/PSE/cattle/2007/O/ME-SA/PanAsia-2,2007,PSE,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211403/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211402/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211399/ISR/gazelle/2007/O/ME-SA/PanAsia-2,2007,ISR,gazelle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211398/ISR/gazelle/2007/O/ME-SA/PanAsia-2,2007,ISR,gazelle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211397/ISR/sheep/2007/O/ME-SA/PanAsia-2,2007,ISR,sheep,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211396/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211394/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211391/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211390/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211388/PSE/sheep/2007/O/ME-SA/PanAsia-2,2007,PSE,sheep,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211387/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211386/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211385/ISR/cattle/2007/O/ME-SA/PanAsia-2,2007,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OQ211383/ISR/gazelle/2007/O/ME-SA/PanAsia-2,2007,ISR,gazelle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
